N,Country,CodExt,Continent,English level,Other Language,Start,Finish,Min Weeks,Max Weeks,Latitude,Longitude,CW
1,Mexico,,America,2,Spanish,01/06/15,01/12/15,8,12,,,Mexico (8-12)
2,Austria,,Europe,1,German,01/06/15,01/11/15,6,8,,,Austria (6-8)
3,Ireland,,Europe,1,,02/06/15,28/08/15,14,14,,,Ireland (14-14)
4,Bangladesh,,Asia,2,,01/06/15,31/12/15,8,12,,,Bangladesh (8-12)
5,Bangladesh,,Asia,2,,01/06/15,31/12/15,8,12,,,Bangladesh (8-12)
6,Poland,,Europe,2,,06/07/15,11/09/15,6,8,,,Poland (6-8)
7,Brazil,,America,2,French,01/09/15,01/12/15,8,16,,,Brazil (8-16)
8,Brazil,,America,2,Spanish,01/08/15,01/12/15,8,12,,,Brazil (8-12)
9,Cyprus,,Europe,1,Greek,15/06/15,14/08/15,6,7,,,Cyprus (6-7)
10,Ecuador,,America,1,Spanish,01/09/15,01/12/15,8,8,,,Ecuador (8-8)
11,Germany,,Europe,2,,01/01/15,31/12/15,8,8,,,Germany (8-8)
12,Germany,,Europe,2,German,01/10/15,31/12/15,8,8,,,Germany (8-8)
13,Germany,,Europe,2,German,01/01/15,31/12/15,12,12,,,Germany (12-12)
14,Germany,,Europe,2,German,01/01/15,31/12/15,8,12,,,Germany (8-12)
15,India,,Asia,1,,01/07/15,30/09/15,6,12,,,India (6-12)
16,India,,Asia,1,,10/07/15,10/10/15,8,12,,,India (8-12)
17,India,,Asia,1,,01/06/15,31/08/15,6,12,,,India (6-12)
18,Iran,,Asia,1,,01/07/15,01/09/15,4,8,,,Iran (4-8)
19,Israel,,Asia,1,,01/08/15,01/10/15,8,8,,,Israel (8-8)
20,Israel,,Asia,1,,01/08/15,01/10/15,8,8,,,Israel (8-8)
21,Japan,,Asia,1,,01/06/15,31/05/16,8,52,,,Japan (8-52)
22,Thailand,,Asia,1,,01/05/15,31/12/15,12,12,,,Thailand (12-12)
23,Mexico,,America,2,Spanish,01/08/15,31/12/15,8,12,,,Mexico (8-12)
24,Mexico,,America,2,Spanish,01/08/15,31/12/15,8,12,,,Mexico (8-12)
25,Mexico,,America,2,Spanish,01/08/15,31/12/15,8,12,,,Mexico (8-12)
26,Norway,,Europe,1,,03/08/15,25/09/15,6,6,,,Norway (6-6)
27,Peru,,America,2,,01/07/15,31/10/15,8,12,,,Peru (8-12)
28,Poland,,Europe,2,,20/06/15,21/08/15,6,7,,,Poland (6-7)
29,Poland,,Europe,2,,01/06/15,31/10/15,8,12,,,Poland (8-12)
30,Russia,,Asia,2,,01/09/15,01/12/15,4,6,,,Russia (4-6)
31,Poland,,Europe,2,,22/06/15,14/08/15,6,6,,,Poland (6-6)
32,Serbia,,Europe,2,,20/06/15,31/08/15,8,12,,,Serbia (8-12)
33,Turkey,,Asia,2,German,15/06/15,30/08/15,8,12,,,Turkey (8-12)
34,Turkey,,Asia,2,Spanish,01/06/15,01/06/16,12,52,,,Turkey (12-52)
35,Turkey,,Asia,2,,15/05/15,15/09/15,12,15,,,Turkey (12-15)
